example,name,hub name,repo,insights,aws
hubverse,The hubverse,Archival FluSight hub (2015--2019),hubverse-org/flusight_hub_archive,,uscdc-flusight-hub-v1
epiengage,epiENGAGE,Variant Nowcast Hub,reichlab/variant-nowcast-hub,https://reichlab.io/variant-nowcast-hub-dashboard/,covid-variant-nowcast-hub
epiengage,epiENGAGE,Flu Metrocast Hub,reichlab/flu-metrocast,,reichlab-flu-metrocast-hub
ai4casting,AI4Casting (U of Guelph),Hosptitalization Forecast Hub,ai4castinghub/hospitalization-forecast,,
ai4casting,AI4Casting (U of Guelph),RVDSS Forecast Hub,ai4castinghub/rvdss-forecast,,
smhct,Scenario Modeling Hub Coordination Team,COVID-19 Scenario Modeling Hub,midas-network/covid19-scenario-modeling-hub,https://covid19scenariomodelinghub.org/,
smhct,Scenario Modeling Hub Coordination Team,Flu Scenario Modeling Hub,midas-network/flu-scenario-modeling-hub,https://fluscenariomodelinghub.org,
smhct,Scenario Modeling Hub Coordination Team,RSV Scenario Modeling Hub,midas-network/rsv-scenario-modeling-hub,https://rsvscenariomodelinghub.org,
smhct,Scenario Modeling Hub Coordination Team,COVID-19 Scenario Modeling Hub - Research,midas-network/covid19-smh-research,,
hopkinsidd,Johns Hopkins University Infectious Disease Dynamics Group,US RSV Forecast Hub,HopkinsIDD/rsv-forecast-hub,,
uscdc,US Centers for Disease Control,FluSight Forecast Hub,cdcepi/FluSight-forecast-hub,,cdcepi-flusight-forecast-hub
uscdc,US Centers for Disease Control,COVID-19 Forecast Hub,CDCgov/covid19-forecast-hub,,covid19-forecast-hub
uscdc,US Centers for Disease Control,Paraguay Forecast Hub,,,
uscdc,US Centers for Disease Control,WHO FluNet Hub,,,
ecdc,European Centre for Disease Prevention and Control (ECDC),RespiCast Syndromic Indicators,european-modelling-hubs/RespiCast-SyndromicIndicators,,
ecdc,European Centre for Disease Prevention and Control (ECDC),European Covid-19 Forecasting Hub,european-modelling-hubs/RespiCast-Covid19,,
ecdc,European Centre for Disease Prevention and Control (ECDC),RespiCompass - ECDC's Respiratory Diseases Scenario Hub,european-modelling-hubs/RespiCompass,https://respicompass.ecdc.europa.eu/insights/,
cadph,California Department of Public Health,West Nile Virus Forecasting Hub,cdphmodeling/wnvca-2024,,
accidda,Atlantic Coast Center for Infectious Disease Dynamics and Analytics,NC DHHS / ACCIDDA Forecasting Collaboration,,https://www.respilens.com/,
