repo,dir,row_count
ai4castinghub/hospitalization-forecast,model-output,263004
ai4castinghub/hospitalization-forecast,target-data,259
ai4castinghub/rvdss-forecast,model-output,655214
ai4castinghub/rvdss-forecast,target-data,731
cdcepi/FluSight-forecast-hub,model-output,24652305
cdcepi/FluSight-forecast-hub,target-data,1342620
CDCgov/covid19-forecast-hub,model-output,7475171
CDCgov/covid19-forecast-hub,target-data,649647
CDCgov/rsv-forecast-hub,model-output,2003913
CDCgov/rsv-forecast-hub,target-data,642198
cdphmodeling/wnvca-2024,model-output,61061
dailypartita/China-COVID-19-Forecast-Hub,model-output,19138
dailypartita/China-COVID-19-Forecast-Hub,target-data,482
european-modelling-hubs/ari-forecast-hub_archive,model-output,218844
european-modelling-hubs/ari-forecast-hub_archive,target-data,261961
european-modelling-hubs/flu-forecast-hub_archive,model-output,407938
european-modelling-hubs/flu-forecast-hub_archive,target-data,416705
european-modelling-hubs/RespiCast-Covid19,model-output,812626
european-modelling-hubs/RespiCast-Covid19,target-data,328246
european-modelling-hubs/RespiCast-SyndromicIndicators,model-output,3697461
european-modelling-hubs/RespiCast-SyndromicIndicators,target-data,682081
european-modelling-hubs/RespiCompass,model-output,510788280
european-modelling-hubs/RespiCompass,target-data,67504
HopkinsIDD/rsv-forecast-hub,model-output,1117639
HopkinsIDD/rsv-forecast-hub,target-data,23304748
hubverse-org/covid19-forecast-hub-archive,model-output,543208109
hubverse-org/covid19-forecast-hub-archive,target-data,2198165
hubverse-org/flusight_hub_archive,model-output,29364474
InsightNet-US/BDBV-Modeling-Hub,model-output,189
midas-network/covid19-scenario-modeling-hub,model-output,289023280
midas-network/covid19-scenario-modeling-hub,target-data,43521
midas-network/covid19-smh-research,model-output,3185180
midas-network/covid19-smh-research,target-data,1794
midas-network/flu-scenario-modeling-hub,model-output,137238537
midas-network/flu-scenario-modeling-hub,target-data,47086
midas-network/rsv-scenario-modeling-hub,model-output,86506420
midas-network/rsv-scenario-modeling-hub,target-data,80612
reichlab/flu-metrocast,model-output,806472
reichlab/flu-metrocast,target-data,229274
reichlab/flusion/retrospective-hub,model-output,1376251
reichlab/flusion/submissions-hub,model-output,765440
reichlab/forecast-sandbox-2025-2026,model-output,6183044
reichlab/forecast-sandbox-2025-2026,target-data,129915
reichlab/metrocast-sandbox-2025-2026,model-output,133812
reichlab/metrocast-sandbox-2025-2026,target-data,18221
reichlab/sismid-ili-forecasting-sandbox,model-output,1656736
reichlab/sismid-ili-forecasting-sandbox,target-data,414590
reichlab/variant-nowcast-hub,model-output,606298644
reichlab/variant-nowcast-hub,target-data,51953824
reichlab/variant-nowcast-model-dev-retro,model-output,2206281168
reichlab/variant-nowcast-model-dev-retro,target-data,18607403
sjfox/ATSF2026,model-output,3658472
sjfox/ATSF2026,target-data,29304
